company,title,source,publish_date,time,url,label_x,score_x,label_y,score_y,label_z,score_z,zero_shot_label,zero_shot_score
Tesla,I've driven tons of EVs. My first time driving a Tesla was still difficult.,Business Insider,2024-01-21T08:00:00.000Z,Jan 21,https://www.businessinsider.com/tesla-model-3-review-quirks-difficulties-experienced-autos-reporter-2024-1,NEGATIVE,0.9938496947288512,neutral,0.9992634654045104,Neutral,0.9051749110221864,environment,0.3355454802513122
Tesla,Tesla sales plunge far more than expected,CNN,2024-04-02T07:00:00.000Z,Apr 2,https://www.cnn.com/2024/04/02/business/tesla-sales/index.html,NEGATIVE,0.9613337516784668,negative,0.9986810088157654,Negative,0.922528088092804,social,0.3094992935657501
Tesla,Tesla recalling nearly 2.2M vehicles for software update to fix warning lights that are too small,The Associated Press,2024-02-02T08:00:00.000Z,Feb 2,https://apnews.com/article/tesla-recall-icons-too-small-997c381dcfade6cb246e51cd39627cf0,NEGATIVE,0.998406708240509,negative,0.6778424382209778,Negative,0.6364772319793701,social,0.3531001210212707
Tesla,Samsung Announces Collaboration With Tesla at CES 2024 for SmartThings Energy,samsung.com,2024-01-05T08:00:00.000Z,Jan 5,https://news.samsung.com/global/samsung-announces-collaboration-with-tesla-at-ces-2024-for-smartthings-energy,POSITIVE,0.9903406500816344,neutral,0.9972513318061828,Neutral,0.8364712595939636,environment,0.5946017503738403
Tesla,"I drove the new Tesla Model 3, here’s what got better",TESLARATI,2024-02-13T08:00:00.000Z,Feb 13,https://www.teslarati.com/tesla-model-3-highland-new-what-got-better/,NEGATIVE,0.991583526134491,positive,0.9936467409133912,Positive,0.754642128944397,social,0.3699824512004852
Tesla,"Tesla 1Q profit falls 55%, but stock jumps as company moves to speed production of cheaper vehicles",The Associated Press,2024-04-23T07:00:00.000Z,Apr 23,https://apnews.com/article/tesla-future-sales-decline-robotaxi-artificial-intelligence-b60696cb69d7735983abcf51aee7f743,NEGATIVE,0.8169901371002197,negative,0.8556131720542908,Negative,0.7597908973693848,neutral,0.4486705362796783
Tesla,We drove a Tesla in Silicon Valley and Detroit: Wildly different experiences,Business Insider,2024-01-13T08:00:00.000Z,Jan 13,https://www.businessinsider.com/tesla-driving-charging-silicon-valley-vs-detroit-compared-2024-1,POSITIVE,0.9988980293273926,neutral,0.9998378753662108,Neutral,0.9832232594490052,social,0.5318745970726013
Tesla,"Tesla’s earnings plunge, but the company promises cheaper car model",CNN,2024-04-23T07:00:00.000Z,Apr 23,https://www.cnn.com/2024/04/23/business/tesla-report-earnings-result/index.html,POSITIVE,0.9922460913658142,negative,0.9725894331932068,Negative,0.9308246970176696,neutral,0.4018953740596771
Tesla,Tesla's price cuts eat into Cybertruck maker's profits as net income plunges 44% in the 3rd quarter,The Associated Press,2023-10-18T07:00:00.000Z,"Oct 18, 2023",https://apnews.com/article/tesla-sales-electric-vehicles-elon-musk-0f2769824fc9ebc9ee0dc9209f858a48,NEGATIVE,0.9876170754432678,negative,0.9987276196479796,Negative,0.915979504585266,social,0.4552874565124511
Tesla,Tesla recalls nearly all 2 million of its vehicles on US roads,CNN,2023-12-13T08:00:00.000Z,"Dec 13, 2023",https://www.cnn.com/2023/12/13/tech/tesla-recall-autopilot/index.html,POSITIVE,0.8543903827667236,neutral,0.9998714923858644,Neutral,0.9039044976234436,social,0.3220687806606293
Tesla,"I drove a Tesla for the first time. Nice car, but I was underwhelmed.",Business Insider,2024-06-19T07:00:00.000Z,Jun 19,https://www.businessinsider.com/tesla-model-3-test-drive-review-first-time-elon-musk-2024-6,NEGATIVE,0.9975281357765198,positive,0.6878564953804016,Negative,0.8917132019996643,neutral,0.5534532070159912
